title,job_type,job_local,num,realtime
22989-高级网络运维工程师,技术类,深圳,2,2018/11/6
22989-AI应用后台开发工程师（深圳）,技术类,深圳,2,2018/11/6
22989-腾讯云容器技术专家（深圳、北京）,技术类,深圳,2,2018/11/6
CSIG14-移动安全高级研究员（深圳）,技术类,深圳,1,2018/11/6
15579-游戏后台开发工程师（深圳）,技术类,深圳,2,2018/11/6
22989-运营产品中心web前端开发,技术类,深圳,2,2018/11/6
SA-腾讯社交广告移动联盟商务（北京）,市场类,北京,1,2018/11/6
23294-互娱后台开发工程师（深圳）,技术类,深圳,1,2018/11/6
23295-互娱PHP开发工程师（深圳）,技术类,深圳,1,2018/11/6
25925-运营开发工程师（深圳）,技术类,深圳,1,2018/11/6
WXG07-117 广州研发部Android研发工程师（广州）,技术类,广州,1,2018/11/6
WXG04-122 微信游戏机器学习工程师,技术类,深圳,1,2018/11/6
TA-领导力行业研究（深圳）,职能类,深圳,1,2018/11/6
WXG08-113 微信朋友圈后台开发工程师（广州）,技术类,广州,2,2018/11/6
TME-音乐品质提升算法工程师（深圳）,技术类,深圳,1,2018/11/6
PCG05-后台开发高级工程师（深圳）,技术类,深圳,1,2018/11/6
25923-Web前端高级工程师（深圳）,技术类,深圳,1,2018/11/6
17759-腾讯视频移动游戏社区运营（北京）,产品/项目类,北京,2,2018/11/6
PCG07-小程序/WEB前端工程师（上海）,技术类,上海,1,2018/11/6
21557-Senior Researcher(Silicon Valley/Shenzhen/Beijing),技术类,美国,1,2018/11/6
18402-MMO手游版本运营（深圳）,产品/项目类,深圳,1,2018/11/6
15605-火影忍者ACT手游3D动画设计,设计类,深圳,1,2018/11/6
15605-高级3D场景设计师(深圳),设计类,深圳,1,2018/11/6
23874-游戏引进评估分析（日本市场方向）,产品/项目类,日本,2,2018/11/6
15570-手游后台高级工程师,技术类,深圳,1,2018/11/6
PCG04-WEB前端高级开发工程师（深圳）,技术类,深圳,1,2018/11/6
22989-IoT OS高级产品经理（深圳/上海/北京）,产品/项目类,深圳,2,2018/11/6
22989-工业物联Paas平台高级产品经理（深圳/上海）,产品/项目类,深圳,2,2018/11/6
18425-商户管理产品经理,产品/项目类,深圳,1,2018/11/6
28994-区块链web前端开发,技术类,深圳,1,2018/11/6
CSIG18-数据仓库工程师（深圳）,技术类,深圳,2,2018/11/6
22851-腾讯视频母婴品类运营编辑 （北京）,内容编辑类,北京,2,2018/11/6
TME-全民K歌音频算法工程师（深圳）,技术类,深圳,1,2018/11/6
TEG07-PHP开发工程师（深圳）,技术类,深圳,1,2018/11/6
22989-IoT安全高级产品经理（深圳/上海/北京）,产品/项目类,深圳,2,2018/11/6
PCG12-行业数据研发高级工程师,技术类,深圳,1,2018/11/6
22989-物联微服务平台产品经理 （深圳/上海）,产品/项目类,深圳,2,2018/11/6
TEG04-PHP高级开发工程师（深圳）,技术类,深圳,2,2018/11/6
18428-财付通清算业务测试工程师（深圳）,技术类,深圳,1,2018/11/6
18428-财付通金融应用业务测试工程师（深圳）,技术类,深圳,1,2018/11/6
24491-王者荣耀全球版-高级UI设计师,设计类,深圳,1,2018/11/6
S2-WXG风险管理经理(深圳）,职能类,深圳,1,2018/11/6
28605-321 微信境外支付高级区域经理（日本）,市场类,日本,1,2018/11/6
28605-321 微信境外支付高级区域经理（泰国）,市场类,泰国,1,2018/11/6
22089-体育经纪商务经理（北京）,市场类,北京,1,2018/11/6
28603-122 支付安全大数据工程师（深圳）,技术类,深圳,1,2018/11/6
25663-腾讯云广电行业总监（北京/深圳）,技术类,深圳,1,2018/11/6
CS-产品运营经理,产品/项目类,深圳,1,2018/11/6
CSIG16-汽车和出行行业高级Android研发工程师（深圳）,技术类,深圳,1,2018/11/6
CSIG16-汽车和出行行业APP测试工程师（深圳）,技术类,深圳,1,2018/11/6
25667-企点行业渠道销售经理（北京）,市场类,北京,1,2018/11/6
25667-企点行业渠道销售经理（上海）,市场类,上海,1,2018/11/6
WH-劳动关系高级经理(深圳),职能类,深圳,1,2018/11/6
27564-体育游戏社区运营（深圳）,产品/项目类,深圳,1,2018/11/6
23674-新闻搜索算法高级工程师（北京）,技术类,北京,1,2018/11/6
TME-音效开发工程师（深圳）,技术类,深圳,1,2018/11/6
WXG04-111 微信游戏数据分析工程师（深圳）,技术类,深圳,1,2018/11/6
19838-自制剧制片经理,产品/项目类,北京,2,2018/11/6
29569-金融系统开发工程师,技术类,深圳,2,2018/11/6
SA-AMS 腾讯社交广告营销洞察数据科学家（深圳）,技术类,深圳,2,2018/11/6
TEG05-业务安全攻防工程师（深圳）,技术类,深圳,1,2018/11/6
TEG05-业务安全高级攻防工程师（深圳）,技术类,深圳,1,2018/11/6
25925-NLP高级工程师（深圳）,技术类,深圳,1,2018/11/6
CSIG16-汽车和出行行业后台测试工程师（深圳）,技术类,深圳,1,2018/11/6
CS-项目经理,产品/项目类,深圳,1,2018/11/6
CS-项目总监,产品/项目类,深圳,1,2018/11/6
21528-品牌公关与传播（北京）,市场类,北京,1,2018/11/6
15605-火影忍者ACT手游特效设计（深圳）,设计类,深圳,1,2018/11/6
24491-游戏主策划（深圳）,产品/项目类,深圳,1,2018/11/6
25925-Linux C++开发工程师（深圳）,技术类,深圳,2,2018/11/6
CSIG16-腾讯地图iOS客户端高级开发工程师,技术类,北京,2,2018/11/6
18402-MMO手游版本管理（深圳）,产品/项目类,深圳,1,2018/11/6
18402-移动游戏商业化运营（深圳）,产品/项目类,深圳,1,2018/11/6
PCG07-QQ空间web前端工程师,技术类,深圳,2,2018/11/6
27554-腾讯音乐商务导演（上海）,内容编辑类,上海,1,2018/11/6
TME-腾讯音乐全民K歌音频算法工程师（深圳）,技术类,深圳,1,2018/11/6
18432-高级政务经理(分支机构管理),职能类,深圳,1,2018/11/6
25929-沙盒游戏运营WEB开发工程师(深圳）,技术类,深圳,1,2018/11/6
XN-通讯业务研发工程师,技术类,深圳,2,2018/11/6
18432-消费金融证券化产品经理,产品/项目类,深圳,1,2018/11/6
WXG10-113 企业微信高级后台开发工程师（广州）,技术类,广州,1,2018/11/6
WXG02-121 微信数据挖掘工程师（深圳）,技术类,深圳,1,2018/11/6
CSIG16-汽车和出行行业高级iOS研发工程师（深圳）,技术类,深圳,1,2018/11/6
22989-iOS高级研发工程师,技术类,深圳,2,2018/11/6
22989-AI产品前端软件开发工程师（深圳/北京/杭州）,技术类,深圳,2,2018/11/6
25663-腾讯云工业行业总监（深圳）,技术类,深圳,1,2018/11/6
SA-腾讯社交广告运维工程师(深圳),技术类,深圳,1,2018/11/6
SA-腾讯社交广告转化数据应用产品经理（北京）,产品/项目类,北京,1,2018/11/6
23671-企鹅号内容特征算法工程师（北京）,技术类,北京,3,2018/11/6
22989-小程序云开发后台开发工程师（深圳）,技术类,深圳,2,2018/11/6
15570-高级关卡策划（FPS/TPS射击类）（深圳）,产品/项目类,深圳,1,2018/11/6
25667-战略BD,市场类,深圳,1,2018/11/6
CSIG16-活动运营产品经理,产品/项目类,北京,1,2018/11/6
15570-高级系统策划（FPS/TPS射击类）（深圳）,产品/项目类,深圳,1,2018/11/6
TEG04-DevOps产品Java高级开发工程师（深圳）,技术类,深圳,2,2018/11/6
28601-411 微信支付行业应用品牌与视觉设计师（深圳）,设计类,深圳,1,2018/11/6
22989-Windows 开发高级工程师,技术类,深圳,2,2018/11/6
22989-Web前端开发高级工程师,技术类,深圳,2,2018/11/6
25925-AI高级产品运营经理（深圳）,产品/项目类,深圳,1,2018/11/6
25667-战略BD-基础架构、物联网、安全方向,市场类,深圳,1,2018/11/6
WXG08-121 微信商业数据分析工程师（广州）,技术类,广州,1,2018/11/6
22851-腾讯视频娱乐中心短视频项目经理,产品/项目类,北京,1,2018/11/6
CSIG16-腾讯地图服务质量和用户数据分析专家,技术类,北京,1,2018/11/6
22989-合规管理高级经理（北京）,职能类,北京,2,2018/11/6
19332高级Web后台JAVA开发工程师(上海),技术类,上海,2,2018/11/6
WXG10-321 企业微信商务推广经理（上海-政府）,市场类,上海,1,2018/11/6
21557-Software Engineer – VR (Silicon Valley/Shenzhen/Beijing),技术类,美国,2,2018/11/6
CSIG16-汽车和出行行业Java后台开发（深圳）,技术类,深圳,1,2018/11/6
CSIG16-汽车和出行行业前端高级工程师（深圳）,技术类,深圳,1,2018/11/6
25663-腾讯云交通行业总监（深圳）,技术类,深圳,1,2018/11/6
22989-AI产品高级后台软件开发工程师(深圳/北京/杭州）,技术类,深圳,3,2018/11/6
27554-腾讯音乐综艺自制市场推广经理（上海）,市场类,上海,1,2018/11/6
24987-3D角色美术（上海）,设计类,上海,2,2018/11/6
15602-手游3D特效设计（深圳）,设计类,深圳,1,2018/11/6
SA-腾讯联盟广告移动客户端iOS高级开发工程师（北京）,技术类,北京,1,2018/11/6
25667-战略BD,市场类,北京,1,2018/11/6
25667-战略BD,市场类,上海,1,2018/11/6
25929-互娱数据经营分析师（深圳）,产品/项目类,深圳,1,2018/11/6
28601-211 智慧零售时尚品牌行业运营经理 （深圳/上海）,产品/项目类,深圳,1,2018/11/6
23672-原子智库高级编辑（北京）,内容编辑类,北京,1,2018/11/6
22989-深度学习资深算法工程师,技术类,深圳,2,2018/11/6
S2-应用开发工程师（深圳）,技术类,深圳,1,2018/11/6
22989-视频云高级产品经理,产品/项目类,深圳,2,2018/11/6
CSIG15-语音识别算法研究员,技术类,北京,1,2018/11/6
28297-战略规划/市场分析经理（深圳）,市场类,深圳,1,2018/11/6
28297-Strategic Planning Manager – Oversea Business,市场类,深圳,1,2018/11/6
25667-战略BD-北区（华北、华东）政府、集成商、交通方向,市场类,北京,2,2018/11/6
25667-战略BD-金融方向【深圳or北京】,市场类,深圳,1,2018/11/6
25667-战略BD-泛互联网（视频、互联网、游戏等）方向【北京/深圳】,市场类,北京,1,2018/11/6
26699-智慧零售终端开发工程师（深圳）,技术类,深圳,2,2018/11/6
21527-腾讯音乐企业IT高级网络工程师（深圳）,技术类,深圳,1,2018/11/6
GY0-JOOX Web开发工程师（深圳）,技术类,深圳,1,2018/11/6
15570-高级战斗策划（FPS/TPS射击类）（深圳）,产品/项目类,深圳,1,2018/11/6
WXG10-212 企业微信高级产品策划经理（广州）,产品/项目类,广州,1,2018/11/6
22851-腾讯视频游戏频道内容制片人(北京),内容编辑类,北京,2,2018/11/6
24012-H5游戏开发工程师（深圳）,技术类,深圳,1,2018/11/6
22989-物联网-工业物联-产品架构师（深圳/上海）,技术类,深圳,2,2018/11/6
22989-物联网-智能家居与智能硬件解决方案架构师（深圳）,技术类,深圳,2,2018/11/6
21557-音视频网络技术高级开发工程师（深圳）,技术类,深圳,2,2018/11/6
21557-Principal Researcher/Tech Lead (Silicon Valley/Shenzhen/Beijing),技术类,美国,1,2018/11/6
23295-互娱iOS开发工程师（深圳）,技术类,深圳,1,2018/11/6
15605-游戏运营组长（深圳）,产品/项目类,深圳,1,2018/11/6
WXG10-321 企业微信商务推广经理（北京-金融）,市场类,北京,1,2018/11/6
TEG02-NIC芯片架构和规划工程师（深圳）,技术类,深圳,1,2018/11/6
21309-销售总监（武汉）,市场类,武汉,1,2018/11/6
29315-员工关系经理（深圳）,职能类,深圳,1,2018/11/6
21529-诉讼法律顾问（深圳）,职能类,深圳,1,2018/11/6
S2-CDG财务管理（北京）,职能类,北京,1,2018/11/6
22989-CV计算机视觉组组长,技术类,深圳,1,2018/11/6
21309-深圳市腾讯教育科技有限公司客服主管,职能类,武汉,1,2018/11/6
22989-视频监控高级产品经理,产品/项目类,深圳,2,2018/11/6
22989-通信云高级产品经理,产品/项目类,深圳,2,2018/11/6
15602-UI组组长（深圳）,设计类,深圳,1,2018/11/6
20503-优图上海-AI服务Linux后台研发工程师（上海）,技术类,上海,1,2018/11/6
PCG01-腾讯文档高级产品经理-用户增长方向（深圳）,产品/项目类,深圳,1,2018/11/6
16175-FPS手游中东地区运营经理（深圳）,产品/项目类,深圳,1,2018/11/6
PCG04-软件配置管理工程师（深圳）,技术类,深圳,1,2018/11/6
21527-腾讯音乐PHP开发工程师（北京）,技术类,北京,1,2018/11/6
PCG07-ISUX-社交应用交互设计师（深圳）,设计类,深圳,1,2018/11/6
WXG08-112 微信搜索推荐运营系统开发工程师（深圳）,技术类,深圳,1,2018/11/6
25667-战略BD-大数据基础及应用、AI（图像、语音算法等）、智能硬件方向,市场类,深圳,1,2018/11/6
22989-腾讯云售后技术支持（成都）,技术类,成都,2,2018/11/6
20503-视频AI算法研究员（上海）,技术类,上海,1,2018/11/6
22968-华东食品饮料行业策划经理,市场类,上海,1,2018/11/6
TME-音乐推荐及自动标签算法工程师（深圳）,技术类,深圳,1,2018/11/6
22989-小程序云开发后台开发高级工程师（深圳）,技术类,深圳,2,2018/11/6
GY0-JOOX产品运营（深圳）,产品/项目类,深圳,1,2018/11/6
22989-物联网-智慧零售解决方案架构师（ 深圳/上海）,技术类,深圳,2,2018/11/6
22989-智慧城市/交通/能源产品架构师（深圳/上海）,技术类,深圳,2,2018/11/6
21309-培训主管（武汉）,产品/项目类,武汉,1,2018/11/6
23675-战略规划经理（北京）,市场类,北京,1,2018/11/6
21309-销售主管（深圳）,市场类,深圳,1,2018/11/6
21309-销售经理（武汉）,市场类,武汉,1,2018/11/6
CSIG16-地图web前端研发工程师,技术类,北京,1,2018/11/6
22989-机器学习平台开发工程师（深圳/上海）,技术类,上海,2,2018/11/6
15614-天刀手游系统策划（上海）,产品/项目类,上海,2,2018/11/6
15614-天刀手游战斗系统策划（上海）,产品/项目类,上海,2,2018/11/6
22989-大数据AI综合应用后台开发工程师,技术类,深圳,2,2018/11/6
22989-大数据AI综合应用Web前端开发工程师,技术类,深圳,2,2018/11/6
21882-腾讯医典高级后台开发（深圳）,技术类,深圳,1,2018/11/6
27092-算法工程开发工程师（深圳）,技术类,深圳,1,2018/11/6
WXG-企业文化经理（广州）,职能类,广州,1,2018/11/6
TEG02-lead hardware engineer(shenzhen),技术类,深圳,1,2018/11/6
CSIG16-AI产品经理（内容服务领域）,产品/项目类,北京,1,2018/11/6
28601-211 微信支付数据运营经理（深圳）,产品/项目类,深圳,1,2018/11/6
29316-组织发展经理（深圳）,职能类,深圳,1,2018/11/6
23671-企鹅号产品经理（合作产品方向）-北京,产品/项目类,北京,1,2018/11/6
PCG07-营收经理,产品/项目类,深圳,1,2018/11/6
PCG07-社群运营经理,产品/项目类,深圳,2,2018/11/6
23674-推荐算法高级工程师（北京）,技术类,北京,1,2018/11/6
22989-腾讯云售后技术支持（北京）,技术类,北京,2,2018/11/6
22989-腾讯云售后技术支持工程师（视频云）（成都）,技术类,成都,2,2018/11/6
TEG11-数据挖掘研究员（北京）,技术类,北京,2,2018/11/6
TME-音乐分析及搜索算法工程师（深圳）,技术类,深圳,1,2018/11/6
TME-歌声算法工程师（深圳）,技术类,深圳,1,2018/11/6
22989-音视频研发高级工程师（深圳）,技术类,深圳,2,2018/11/6
22989-音视频资深开发工程师,技术类,深圳,2,2018/11/6
S2-运维开发工程师（深圳）,技术类,深圳,1,2018/11/6
PCG07-微视内容运营编辑,内容编辑类,深圳,1,2018/11/6
PCG07-商业化产品运营经理,产品/项目类,深圳,1,2018/11/6
22851-腾讯视频娱乐中心渠道内容运营(北京),内容编辑类,北京,1,2018/11/6
22989-iOS 开发高级工程师,技术类,深圳,2,2018/11/6
PCG07-微视高级后台软件工程师（深圳）,技术类,深圳,2,2018/11/6
21062-高级3D游戏特效师(深圳）,设计类,深圳,1,2018/11/6
22086-腾讯体育电商品类运营及拓展经理（北京）,产品/项目类,北京,1,2018/11/6
22086-腾讯体育前端开发工程师（北京）,技术类,北京,1,2018/11/6
15612-高级技术美术(北京),设计类,北京,2,2018/11/6
TEG02-SD-WAN开发工程师（深圳）,技术类,深圳,1,2018/11/6
21062-高级动作游戏动画师(深圳）,设计类,深圳,1,2018/11/6
17759-腾讯视频商城活动策划（北京）,市场类,北京,1,2018/11/6
22989-Android 开发高级工程师,技术类,深圳,2,2018/11/6
28600-212 微信支付资金产品经理（深圳）,产品/项目类,深圳,1,2018/11/6
23671-企鹅号运营经理（内容产品方向,产品/项目类,北京,1,2018/11/6
SA-腾讯社交广告商业化产品经理（QQ广告 深圳）,产品/项目类,深圳,2,2018/11/6
23674-腾讯新闻社区产品运营,产品/项目类,北京,2,2018/11/6
22989-大数据应用研发一组组长,技术类,深圳,1,2018/11/6
22989-腾讯云售后技术支持工程师（视频云）（北京）,技术类,北京,2,2018/11/6
21087-手游社区与用户管理运营(深圳),产品/项目类,深圳,1,2018/11/6
HY6-互娱推广策划经理-营销方向,市场类,深圳,1,2018/11/6
21087-MMORPG官网运营（深圳）,产品/项目类,深圳,1,2018/11/6
21087-手游版本管理运营(深圳),产品/项目类,深圳,1,2018/11/6
TEG03-机器学习高级研究员（深圳）,技术类,深圳,2,2018/11/6
15575-天美L1预研海外手游3D特效设计师（成都）,设计类,成都,1,2018/11/6
CSIG16-客户端开发工程师,技术类,北京,1,2018/11/6
18796-创新业务后台开发工程师（深圳）,技术类,深圳,1,2018/11/6
15612-资源策划（北京）,产品/项目类,北京,2,2018/11/6
S2-投资公司管理经理（深圳）,职能类,深圳,1,2018/11/6
28607-122 微信支付高级推荐算法工程师（深圳）,技术类,深圳,1,2018/11/6
28604-113 微信支付支付应用开发工程师（深圳）,技术类,深圳,1,2018/11/6
TEG04-智慧校园产品策划经理（深圳）,产品/项目类,深圳,1,2018/11/6
PCG20-部门秘书（北京）,职能类,北京,1,2018/11/6
15612-MMORPG剧情策划师（北京）,产品/项目类,北京,2,2018/11/6
TME-中央曲库数据产品经理（深圳）,产品/项目类,深圳,1,2018/11/6
27092-应用宝后台开发工程师（深圳）,技术类,深圳,2,2018/11/6
21527-腾讯音乐Oracle EBS高级开发工程师（北京）,技术类,北京,1,2018/11/6
PCG09-内容平台高级后台开发工程师（上海）,技术类,上海,1,2018/11/6
PCG04-安全测试组长,技术类,深圳,1,2018/11/6
15579-次世代3D场景美术（深圳）,设计类,深圳,2,2018/11/6
PCG15-用户增长leader,产品/项目类,深圳,1,2018/11/6
CSIG16-质量评测研发工程师,技术类,北京,1,2018/11/6
PCG15-web前端开发（专场）（深圳）,技术类,深圳,5,2018/11/6
WXG08-113 微信深度学习后台开发工程师（北京）,技术类,北京,1,2018/11/6
CSIG15-腾讯叮当TVS后台开发高级工程师（深圳）,技术类,深圳,1,2018/11/6
15612-战斗策划（北京）,产品/项目类,北京,2,2018/11/6
29314-合资公司CFO（北京）,职能类,北京,1,2018/11/6
23048-浏览器高级算法工程师,技术类,北京,1,2018/11/6
WXG09-331 微信海外市场经理（广州）,市场类,广州,1,2018/11/6
28607-122 微信支付自然语言处理高级工程师（深圳）,技术类,深圳,1,2018/11/6
CSIG16-地图导航引擎开发工程师（北京）,技术类,北京,1,2018/11/6
29316-深圳腾讯教育科技有限公司人力资源总监（武汉）,职能类,武汉,1,2018/11/6
22989-腾讯云web前端高级工程师,技术类,深圳,2,2018/11/6
